id,created_at,updated_at,maxNumber,product_id,vehicle_id
22,1658744924537,,745,22,1
27,1658744924540,,220,27,1
31,1658744924541,,124,31,1
73,1658744924562,,220,73,1
1159,1659235748404,,42,80,21
80,1658744924566,,24,80,1
1156,1659235748400,,215,95,21
1155,1659235748399,,38699,100,21
1152,1659235748398,,379,73,21
1143,1659235748394,,215,107,21
1139,1659235748392,,107,103,21
102,1658745064617,,745,22,2
1136,1659235748382,,215,31,21
1135,1659235748381,,379,27,21
107,1658745064619,,220,27,2
1134,1659235748380,,1283,22,21
1132,1659235743322,,42,80,20
111,1658745064621,,124,31,2
1129,1659235743321,,215,95,20
1128,1659235743321,,38699,100,20
1125,1659235743320,,379,73,20
1116,1659235743316,,215,107,20
1112,1659235743315,,107,103,20
1109,1659235743314,,215,31,20
1108,1659235743313,,379,27,20
1107,1659235743313,,1283,22,20
153,1658745064644,,220,73,2
160,1658745064647,,24,80,2
1078,1659235733593,,42,80,18
1075,1659235733592,,215,95,18
1074,1659235733592,,38699,100,18
1071,1659235733591,,379,73,18
182,1658745123933,,676,22,3
1062,1659235733588,,215,107,18
187,1658745123935,,200,27,3
1058,1659235733586,,107,103,18
191,1658745123937,,113,31,3
1055,1659235733585,,215,31,18
1054,1659235733583,,379,27,18
1053,1659235733582,,1283,22,18
1051,1659235728973,,42,80,17
1048,1659235728972,,215,95,17
1047,1659235728971,,38699,100,17
1044,1659235728970,,379,73,17
1035,1659235728967,,215,107,17
1031,1659235728965,,107,103,17
1028,1659235728964,,215,31,17
1027,1659235728963,,379,27,17
1026,1659235728963,,1283,22,17
233,1658745123958,,200,73,3
240,1658745123962,,22,80,3
262,1658745178983,,1283,22,4
267,1658745178986,,379,27,4
271,1658745178989,,215,31,4
313,1658745179024,,379,73,4
320,1658745179028,,42,80,4
342,1658745209840,,1154,22,5
347,1658745209842,,341,27,5
351,1658745209843,,193,31,5
877,1659234699420,,226,107,15
876,1659234699420,,226,107,14
871,1659234699416,,226,107,9
870,1659234699416,,652,107,8
393,1658745209872,,341,73,5
868,1659234699415,,232,107,6
867,1659234699415,,193,107,5
866,1659234699413,,215,107,4
865,1659234699412,,113,107,3
864,1659234699411,,124,107,2
863,1659234699402,,124,107,1
400,1658745209876,,38,80,5
422,1658745247648,,1390,22,6
427,1658745247651,,411,27,6
431,1658745247654,,232,31,6
817,1659234286715,,113,103,15
816,1659234286714,,113,103,14
811,1659234286702,,113,103,9
810,1659234286701,,326,103,8
808,1659234286700,,116,103,6
807,1659234286700,,96,103,5
806,1659234286699,,107,103,4
805,1659234286699,,56,103,3
804,1659234286698,,62,103,2
803,1659234286696,,62,103,1
473,1658745247685,,411,73,6
480,1658745247691,,46,80,6
772,1659233331483,,40739,100,15
771,1659233331483,,40739,100,14
766,1659233331481,,40739,100,9
765,1659233331481,,117499,100,8
763,1659233331480,,41924,100,6
762,1659233331479,,34829,100,5
761,1659233331479,,38699,100,4
760,1659233331479,,20399,100,3
759,1659233331478,,22484,100,2
758,1659233331476,,22484,100,1
697,1659232784787,,226,95,15
696,1659232784786,,226,95,14
582,1658745322074,,3896,22,8
691,1659232784784,,226,95,9
587,1658745322077,,1151,27,8
690,1659232784783,,652,95,8
688,1659232784783,,232,95,6
591,1658745322079,,652,31,8
687,1659232784782,,193,95,5
686,1659232784782,,215,95,4
685,1659232784781,,113,95,3
684,1659232784781,,124,95,2
683,1659232784779,,124,95,1
682,1658851592379,,45,80,15
681,1658851592379,,399,73,15
680,1658851592378,,226,31,15
679,1658851592378,,399,27,15
678,1658851592377,,1350,22,15
676,1658851588285,,45,80,14
675,1658851588285,,399,73,14
674,1658851588284,,226,31,14
673,1658851588283,,399,27,14
672,1658851588283,,1350,22,14
633,1658745322104,,1151,73,8
646,1658851541568,,45,80,9
645,1658851541568,,399,73,9
644,1658851541567,,226,31,9
643,1658851541567,,399,27,9
642,1658851541566,,1350,22,9
640,1658745322109,,130,80,8
1269,1659235892999,,53,22,26
1270,1659235893000,,15,27,26
1271,1659235893001,,8,31,26
1274,1659235893003,,4,103,26
1278,1659235893005,,8,107,26
1287,1659235893028,,15,73,26
1290,1659235893030,,1600,100,26
1291,1659235893031,,8,95,26
1294,1659235893033,,1,80,26
