order_id,id,product_id,quantity,weight,capacity
1,1,1,1,10.0,10.0
1,2,2,1,5.0,5.0
2,3,1,1,10.0,10.0
3,4,1,1,5.0,5.0
3,5,2,1,3.0,3.0
4,6,1,1,5.0,5.0
5,7,1,1,10.0,10.0
5,8,2,1,5.0,5.0
6,9,1,1,5.0,5.0
6,10,2,1,3.0,3.0
7,11,1,1,5.0,5.0
8,12,1,1,10.0,10.0
8,13,2,1,5.0,5.0
9,14,1,1,10.0,10.0
10,15,1,1,5.0,5.0
10,16,2,1,3.0,3.0
11,17,1,1,10.0,10.0
11,18,2,1,5.0,5.0
12,19,1,1,10.0,10.0
13,20,1,1,5.0,5.0
13,21,2,1,3.0,3.0
14,22,1,1,5.0,5.0
15,23,1,1,10.0,10.0
15,24,2,1,5.0,5.0
16,25,1,1,5.0,5.0
16,26,2,1,3.0,3.0
17,27,1,1,5.0,5.0
18,28,1,1,10.0,10.0
18,29,2,1,5.0,5.0
19,30,1,1,10.0,10.0
20,31,1,1,5.0,5.0
20,32,2,1,3.0,3.0
21,33,1,1,10.0,10.0
21,34,2,1,5.0,5.0
22,35,1,1,10.0,10.0
23,36,1,1,5.0,5.0
23,37,2,1,3.0,3.0
24,38,1,1,5.0,5.0
25,39,1,1,10.0,10.0
25,40,2,1,5.0,5.0
26,41,1,1,5.0,5.0
26,42,2,1,3.0,3.0
27,43,1,1,5.0,5.0
28,44,1,1,10.0,10.0
28,45,2,1,5.0,5.0
29,46,1,1,10.0,10.0
30,47,1,1,5.0,5.0
30,48,2,1,3.0,3.0
31,49,1,1,10.0,10.0
31,50,2,1,5.0,5.0
32,51,1,1,10.0,10.0
33,52,1,1,5.0,5.0
33,53,2,1,3.0,3.0
34,54,1,1,5.0,5.0
35,55,1,1,10.0,10.0
35,56,2,1,5.0,5.0
36,57,1,1,5.0,5.0
36,58,2,1,3.0,3.0
37,59,1,1,5.0,5.0
38,60,1,1,10.0,10.0
38,61,2,1,5.0,5.0
39,62,1,1,10.0,10.0
40,63,1,1,5.0,5.0
40,64,2,1,3.0,3.0
41,65,1,1,10.0,10.0
41,66,2,1,5.0,5.0
42,67,1,1,10.0,10.0
43,68,1,1,5.0,5.0
43,69,2,1,3.0,3.0
44,70,1,1,5.0,5.0
45,71,1,1,10.0,10.0
45,72,2,1,5.0,5.0
46,73,1,1,5.0,5.0
46,74,2,1,3.0,3.0
47,75,1,1,5.0,5.0
48,76,1,1,10.0,10.0
48,77,2,1,5.0,5.0
49,78,1,1,10.0,10.0
50,79,1,1,5.0,5.0
50,80,2,1,3.0,3.0
