id,latitude,longitude,start_time,end_time
1,500241,4792956,21600.0,54000.0
2,500731,4793130,21600.0,54000.0
3,500277,4793327,21600.0,54000.0
4,499817,4793518,21600.0,54000.0
5,500136,4793842,21600.0,54000.0
6,500408,4793723,21600.0,54000.0
7,500792,4793934,21600.0,54000.0
8,501039,4793705,21600.0,54000.0
9,499115,4795417,21600.0,54000.0
10,498881,4795695,21600.0,54000.0
11,498673,4795376,21600.0,54000.0
12,498739,4795896,21600.0,54000.0
13,498526,4795774,21600.0,54000.0
14,498130,4795490,21600.0,54000.0
15,498516,4796163,21600.0,54000.0
16,498272,4795868,21600.0,54000.0
17,497553,4794221,21600.0,54000.0
18,497425,4794772,21600.0,54000.0
19,497331,4794585,21600.0,54000.0
20,497038,4794342,21600.0,54000.0
21,497059,4794946,21600.0,54000.0
22,496882,4794721,21600.0,54000.0
23,496767,4795050,21600.0,54000.0
24,496478,4794738,21600.0,54000.0
25,496661,4791462,21600.0,54000.0
26,496209,4793224,21600.0,54000.0
27,496473,4792856,21600.0,54000.0
28,496257,4792579,21600.0,54000.0
29,494399,4793788,21600.0,54000.0
30,494831,4793468,21600.0,54000.0
31,495318,4793183,21600.0,54000.0
32,495617,4792600,21600.0,54000.0
33,501836,4796229,21600.0,54000.0
34,501098,4796398,21600.0,54000.0
35,500723,4795954,21600.0,54000.0
36,501359,4797029,21600.0,54000.0
37,500928,4796790,21600.0,54000.0
38,501164,4797910,21600.0,54000.0
39,500545,4797095,21600.0,54000.0
40,500068,4796818,21600.0,54000.0
41,501721,4791088,21600.0,54000.0
42,502201,4791449,21600.0,54000.0
43,502459,4790936,21600.0,54000.0
44,502667,4792691,21600.0,54000.0
45,502946,4792171,21600.0,54000.0
46,503197,4791554,21600.0,54000.0
47,503350,4791977,21600.0,54000.0
48,503929,4790770,21600.0,54000.0
49,500889,4788353,21600.0,54000.0
50,501014,4787874,21600.0,54000.0
51,500523,4787850,21600.0,54000.0
52,500293,4787645,21600.0,54000.0
53,500345,4787131,21600.0,54000.0
54,499153,4787027,21600.0,54000.0
55,499084,4786766,21600.0,54000.0
56,499415,4786662,21600.0,54000.0
57,506360,4790438,21600.0,54000.0
58,506490,4789488,21600.0,54000.0
59,506515,4788877,21600.0,54000.0
60,505611,4790028,21600.0,54000.0
61,505654,4788900,21600.0,54000.0
62,505089,4790292,21600.0,54000.0
63,505127,4789903,21600.0,54000.0
64,505034,4789160,21600.0,54000.0
65,504476,4795786,21600.0,54000.0
66,504483,4795356,21600.0,54000.0
67,504358,4795037,21600.0,54000.0
68,503906,4794468,21600.0,54000.0
69,504058,4795238,21600.0,54000.0
70,503669,4794849,21600.0,54000.0
71,503846,4795755,21600.0,54000.0
72,503693,4795481,21600.0,54000.0
73,499663,4790455,21600.0,54000.0
74,499588,4790334,21600.0,54000.0
75,499229,4790323,21600.0,54000.0
76,498971,4790157,21600.0,54000.0
77,498973,4790007,21600.0,54000.0
78,498602,4790280,21600.0,54000.0
79,498564,4790018,21600.0,54000.0
80,498475,4789858,21600.0,54000.0
