id,latitude,longitude,start_time,end_time
1,0,0,28800,75600
2,0,0,28800,75600
3,0,0,28800,75600
4,0,0,28800,75600
5,0,0,28800,75600
6,0,0,28800,75600
7,0,0,28800,75600
8,0,0,28800,75600
9,0,0,28800,75600
10,0,0,28800,75600
11,0,0,28800,75600
12,0,0,28800,75600
13,0,0,28800,75600
14,0,0,28800,75600
15,0,0,28800,75600
16,0,0,28800,75600
31,0,0,27000,73800
32,0,0,27000,73800
33,0,0,27000,73800
34,0,0,27000,73800
35,0,0,27000,73800
36,0,0,27000,73800
37,0,0,27000,73800
38,0,0,27000,73800
39,0,0,27000,73800
40,0,0,27000,73800
41,0,0,27000,73800
42,0,0,27900,74700
43,0,0,27900,74700
44,0,0,27900,74700
45,0,0,27900,74700
46,0,0,27900,74700
47,0,0,27900,74700
48,0,0,27900,74700
49,0,0,27900,74700
50,0,0,27900,74700
51,0,0,27900,74700
52,0,0,27900,74700
53,0,0,27900,74700
54,0,0,27900,74700
55,0,0,27900,74700
56,0,0,27900,74700
57,0,0,27900,74700
58,0,0,27900,74700
59,0,0,27900,74700
60,0,0,27900,74700
62,0,0,27000,73800
63,0,0,27000,73800
64,0,0,27000,73800
65,0,0,27000,73800
66,0,0,27000,73800
67,0,0,27000,73800
68,0,0,27000,73800
69,0,0,27000,73800
70,0,0,27000,73800
71,0,0,27000,73800
72,0,0,27000,73800
73,0,0,27000,73800
74,0,0,27000,73800
75,0,0,27000,73800
76,0,0,27000,73800
77,0,0,27000,73800
78,0,0,27000,73800
79,0,0,27000,73800
80,0,0,27000,73800
81,0,0,27000,73800
82,0,0,27000,73800
83,0,0,27000,73800
84,0,0,27000,73800
85,0,0,27000,73800
86,0,0,27000,73800
93,0,0,27000,73800
94,0,0,27000,73800
95,0,0,27000,73800
96,0,0,27000,73800
98,0,0,27000,73800
101,0,0,27000,73800
102,0,0,27000,73800
103,0,0,27000,73800
109,0,0,27000,73800
110,0,0,27000,73800
111,0,0,27000,73800
117,0,0,27000,73800
119,0,0,27000,73800
120,0,0,27000,73800
121,0,0,27000,73800
122,0,0,27000,73800
123,0,0,27000,73800
124,0,0,28800,79200
125,0,0,28800,79200
126,0,0,28800,79200
127,0,0,28800,79200
128,0,0,28800,79200
129,0,0,28800,79200
130,0,0,28800,79200
131,0,0,28800,79200
132,0,0,28800,79200
133,0,0,28800,79200
134,0,0,28800,79200
135,0,0,28800,79200
136,0,0,28800,79200
137,0,0,28800,79200
262,0,0,27000,79200
361,0,0,28800,79200
362,0,0,28800,79200
363,0,0,28800,79200
364,0,0,28800,79200
366,0,0,28800,79200
