id,latitude,longitude,start_time,end_time
1,500241,4792956,21600.0,54000.0
2,500731,4793130,21600.0,54000.0
3,500277,4793327,21600.0,54000.0
4,499817,4793518,21600.0,54000.0
5,500136,4793842,21600.0,54000.0
6,500408,4793723,21600.0,54000.0
7,500792,4793934,21600.0,54000.0
8,501039,4793705,21600.0,54000.0
9,500982,4794214,21600.0,54000.0
10,500394,4794227,21600.0,54000.0
11,497553,4794221,21600.0,54000.0
12,497425,4794772,21600.0,54000.0
13,497331,4794585,21600.0,54000.0
14,497038,4794342,21600.0,54000.0
15,497059,4794946,21600.0,54000.0
16,496882,4794721,21600.0,54000.0
17,496767,4795050,21600.0,54000.0
18,496478,4794738,21600.0,54000.0
19,496704,4795411,21600.0,54000.0
20,496106,4794950,21600.0,54000.0
21,501836,4796229,21600.0,54000.0
22,501098,4796398,21600.0,54000.0
23,500723,4795954,21600.0,54000.0
24,501359,4797029,21600.0,54000.0
25,500928,4796790,21600.0,54000.0
26,501164,4797910,21600.0,54000.0
27,500545,4797095,21600.0,54000.0
28,500068,4796818,21600.0,54000.0
29,500333,4797896,21600.0,54000.0
30,500013,4797383,21600.0,54000.0
31,500889,4788353,21600.0,54000.0
32,501014,4787874,21600.0,54000.0
33,500523,4787850,21600.0,54000.0
34,500293,4787645,21600.0,54000.0
35,500345,4787131,21600.0,54000.0
36,499153,4787027,21600.0,54000.0
37,499084,4786766,21600.0,54000.0
38,499415,4786662,21600.0,54000.0
39,497931,4787426,21600.0,54000.0
40,498167,4787117,21600.0,54000.0
41,504476,4795786,21600.0,54000.0
42,504483,4795356,21600.0,54000.0
43,504358,4795037,21600.0,54000.0
44,503906,4794468,21600.0,54000.0
45,504058,4795238,21600.0,54000.0
46,503669,4794849,21600.0,54000.0
47,503846,4795755,21600.0,54000.0
48,503693,4795481,21600.0,54000.0
49,503540,4795033,21600.0,54000.0
50,503436,4794572,21600.0,54000.0
