id,product_id,quantity,weight,capacity,order_id
1,27,15,19.5,0.6,1
2,73,15,240.0,0.6,1
3,31,20,200.0,1.4,1
4,22,20,76.0,0.2,1
5,80,10,68.0,3.6,1
16,27,15,19.5,0.6,4
17,73,15,240.0,0.6,4
18,31,20,200.0,1.4,4
19,22,20,76.0,0.2,4
20,80,10,68.0,3.6,4
21,27,15,19.5,0.6,5
22,73,15,240.0,0.6,5
23,31,20,200.0,1.4,5
24,22,20,76.0,0.2,5
25,80,10,68.0,3.6,5
36,27,15,19.5,0.6,8
37,73,15,240.0,0.6,8
38,31,20,200.0,1.4,8
39,22,20,76.0,0.2,8
40,80,10,68.0,3.6,8
41,27,15,19.5,0.6,9
42,73,15,240.0,0.6,9
43,31,20,200.0,1.4,9
44,22,20,76.0,0.2,9
45,80,10,68.0,3.6,9
56,27,15,19.5,0.6,12
57,73,15,240.0,0.6,12
58,31,20,200.0,1.4,12
59,22,20,76.0,0.2,12
60,80,10,68.0,3.6,12
71,27,15,19.5,0.6,15
72,73,15,240.0,0.6,15
73,31,20,200.0,1.4,15
74,22,20,76.0,0.2,15
75,80,10,68.0,3.6,15
76,27,15,19.5,0.6,16
77,73,15,240.0,0.6,16
78,31,20,200.0,1.4,16
79,22,20,76.0,0.2,16
80,80,10,68.0,3.6,16
201,27,20,26.0,0.8,41
202,73,50,800.0,2.0,41
203,31,30,300.0,2.1,41
204,22,40,152.0,0.4,41
205,80,20,136.0,7.2,41
206,27,20,26.0,0.8,42
207,73,50,800.0,2.0,42
208,31,30,300.0,2.1,42
209,22,40,152.0,0.4,42
210,80,20,136.0,7.2,42
211,27,20,26.0,0.8,43
212,73,50,800.0,2.0,43
213,31,30,300.0,2.1,43
214,22,40,152.0,0.4,43
215,80,20,136.0,7.2,43
216,27,20,26.0,0.8,44
217,73,50,800.0,2.0,44
218,31,30,300.0,2.1,44
219,22,40,152.0,0.4,44
220,80,20,136.0,7.2,44
221,27,20,26.0,0.8,45
222,73,50,800.0,2.0,45
223,31,30,300.0,2.1,45
224,22,40,152.0,0.4,45
225,80,20,136.0,7.2,45
226,27,20,26.0,0.8,46
227,73,50,800.0,2.0,46
228,31,30,300.0,2.1,46
229,22,40,152.0,0.4,46
230,80,20,136.0,7.2,46
236,27,20,26.0,0.8,48
237,73,50,800.0,2.0,48
238,31,30,300.0,2.1,48
239,22,40,152.0,0.4,48
240,80,20,136.0,7.2,48
241,27,20,26.0,0.8,49
242,73,50,800.0,2.0,49
243,31,30,300.0,2.1,49
244,22,40,152.0,0.4,49
245,80,20,136.0,7.2,49
256,27,20,26.0,0.8,52
257,73,50,800.0,2.0,52
258,31,30,300.0,2.1,52
259,22,40,152.0,0.4,52
260,80,20,136.0,7.2,52
261,27,20,26.0,0.8,53
262,73,50,800.0,2.0,53
263,31,30,300.0,2.1,53
264,22,40,152.0,0.4,53
265,80,20,136.0,7.2,53
266,27,20,26.0,0.8,54
267,73,50,800.0,2.0,54
268,31,30,300.0,2.1,54
269,22,40,152.0,0.4,54
270,80,20,136.0,7.2,54
281,27,20,26.0,0.8,57
282,73,50,800.0,2.0,57
283,31,30,300.0,2.1,57
284,22,40,152.0,0.4,57
285,80,20,136.0,7.2,57
286,27,20,26.0,0.8,58
287,73,50,800.0,2.0,58
288,31,30,300.0,2.1,58
289,22,40,152.0,0.4,58
290,80,20,136.0,7.2,58
291,27,20,26.0,0.8,59
292,73,50,800.0,2.0,59
293,31,30,300.0,2.1,59
