vehicle_id,product_id
24,107
24,103
24,31
24,27
24,22
1,22
1,27
1,31
22,80
22,95
22,100
22,73
22,107
22,103
1,73
22,31
22,27
22,22
1,80
2,22
2,27
20,80
2,31
20,95
20,100
20,73
20,107
20,103
20,31
20,27
20,22
2,73
2,80
17,80
17,95
17,100
17,73
17,107
17,103
17,31
17,27
17,22
4,22
4,27
4,31
4,73
4,80
15,107
13,107
8,107
7,107
4,107
2,107
1,107
15,103
13,103
8,103
7,103
4,103
2,103
1,103
15,100
13,100
7,22
8,100
7,27
7,100
7,31
4,100
2,100
1,100
7,73
7,80
15,95
13,95
8,22
8,27
8,95
7,95
8,31
4,95
2,95
1,95
15,80
15,73
15,31
15,27
15,22
13,80
13,73
13,31
13,27
13,22
8,73
8,80
24,73
24,100
24,95
24,80
