id,customer_id,time_service,time_loading,weight,capacity
1,1,300,300,122.0,0.68
4,4,300,300,122.0,0.68
5,5,300,300,122.0,0.68
8,7,300,300,122.0,0.68
9,9,300,300,122.0,0.68
12,12,300,300,122.0,0.68
15,15,300,300,122.0,0.68
16,16,300,300,122.0,0.68
227,17,300,300,124.1,0.45
228,18,300,300,124.1,0.45
229,19,300,300,124.1,0.45
230,27,300,300,124.1,0.45
231,29,300,300,124.1,0.45
234,32,300,300,124.1,0.45
235,33,300,300,124.1,0.45
239,37,300,300,124.1,0.45
240,38,300,300,124.1,0.45
242,40,300,300,52.1,0.68
41,41,300,300,106.0,0.68
42,42,300,300,106.0,0.68
43,43,300,300,106.0,0.68
44,44,300,300,106.0,0.68
45,45,300,300,106.0,0.68
46,46,300,300,106.0,0.68
48,48,300,300,106.0,0.68
49,49,300,300,106.0,0.68
52,52,300,300,106.0,0.68
53,53,300,300,106.0,0.68
54,54,300,300,106.0,0.68
57,57,300,300,106.0,0.68
58,58,300,300,106.0,0.68
59,59,300,300,106.0,0.68
61,62,300,300,106.0,0.68
63,64,300,300,106.0,0.68
65,66,300,300,106.0,0.68
66,67,300,300,106.0,0.68
67,68,300,300,106.0,0.68
68,69,300,300,106.0,0.68
70,71,300,300,106.0,0.68
72,73,300,300,106.0,0.68
73,74,300,300,106.0,0.68
74,75,300,300,106.0,0.68
75,76,300,300,106.0,0.68
77,78,300,300,106.0,0.68
78,79,300,300,106.0,0.68
79,80,300,300,106.0,0.68
85,86,300,300,106.0,0.45
288,93,300,300,52.1,0.68
86,94,300,300,106.0,0.45
87,95,300,300,106.0,0.45
88,98,300,300,106.0,0.45
89,101,300,300,106.0,0.45
90,102,300,300,106.0,0.45
91,103,300,300,106.0,0.45
92,109,300,300,106.0,0.45
93,110,300,300,106.0,0.45
98,121,300,300,106.0,0.45
99,122,300,300,106.0,0.45
100,123,300,300,106.0,0.45
101,124,300,300,106.0,0.45
105,128,300,300,106.0,0.45
106,129,300,300,106.0,0.45
107,130,300,300,106.0,0.45
110,133,300,300,106.0,0.45
112,135,300,300,106.0,0.45
115,138,300,300,106.0,0.45
117,140,300,300,106.0,0.45
119,142,300,300,106.0,0.45
120,143,300,300,106.0,0.45
121,144,300,300,128.0,0.45
124,147,300,300,128.0,0.45
126,149,300,300,128.0,0.45
130,153,300,300,128.0,0.45
131,154,300,300,128.0,0.45
133,156,300,300,128.0,0.45
134,157,300,300,128.0,0.45
135,158,300,300,128.0,0.45
137,160,300,300,128.0,0.45
138,161,300,300,128.0,0.45
140,163,300,300,128.0,0.45
141,164,300,300,128.0,0.45
142,165,300,300,128.0,0.45
143,166,300,300,128.0,0.45
144,167,300,300,128.0,0.45
145,168,300,300,128.0,0.45
146,169,300,300,128.0,0.45
148,171,300,300,128.0,0.45
150,173,300,300,128.0,0.45
153,176,300,300,128.0,0.45
154,177,300,300,128.0,0.45
159,182,300,300,100.0,0.45
160,183,300,300,100.0,0.45
161,184,300,300,100.0,0.45
162,185,300,300,100.0,0.45
163,186,300,300,100.0,0.45
164,187,300,300,100.0,0.45
165,188,300,300,100.0,0.45
166,189,300,300,100.0,0.45
167,190,300,300,100.0,0.45
169,192,300,300,100.0,0.45
174,197,300,300,100.0,0.45
176,199,300,300,100.0,0.45
177,200,300,300,100.0,0.45
178,201,300,300,100.0,0.45
179,202,300,300,100.0,0.45
182,205,300,300,100.0,0.45
183,206,300,300,100.0,0.45
184,207,300,300,100.0,0.45
185,208,300,300,100.0,0.45
186,209,300,300,100.0,0.45
191,214,300,300,100.0,0.45
192,215,300,300,100.0,0.45
194,217,300,300,100.0,0.45
197,220,300,300,100.0,0.45
199,222,300,300,100.0,0.45
200,223,300,300,100.0,0.45
202,225,300,300,100.0,0.45
203,226,300,300,100.0,0.45
204,227,300,300,100.0,0.45
205,228,300,300,100.0,0.45
207,230,300,300,100.0,0.45
209,232,300,300,100.0,0.45
294,238,300,300,52.1,0.68
295,239,300,300,52.1,0.68
298,242,300,300,52.1,0.68
299,243,300,300,52.1,0.68
300,244,300,300,52.1,0.68
301,245,300,300,52.1,0.68
302,246,300,300,52.1,0.68
303,247,300,300,52.1,0.68
305,248,300,300,52.1,0.68
306,255,300,300,52.1,0.68
307,256,300,300,52.1,0.68
310,259,300,300,52.1,0.68
311,260,300,300,52.1,0.68
315,263,300,300,52.1,0.68
316,264,300,300,52.1,0.68
317,265,300,300,52.1,0.68
318,266,300,300,52.1,0.68
319,267,300,300,52.1,0.68
322,270,300,300,98.0,0.5
327,275,300,300,98.0,0.5
328,276,300,300,98.0,0.5
329,277,300,300,98.0,0.5
330,278,300,300,98.0,0.5
332,280,300,300,98.0,0.5
333,281,300,300,98.0,0.5
335,283,300,300,98.0,0.5
341,290,300,300,98.0,0.5
343,292,300,300,98.0,0.5
344,293,300,300,98.0,0.5
345,294,300,300,98.0,0.5
348,297,300,300,98.0,0.5
351,300,300,300,98.0,0.5
353,302,300,300,98.0,0.5
354,303,300,300,98.0,0.5
358,307,300,300,98.0,0.5
360,309,300,300,98.0,0.5
361,310,300,300,98.0,0.5
362,311,300,300,98.0,0.5
363,312,300,300,98.0,0.5
364,313,300,300,98.0,0.5
365,314,300,300,98.0,0.5
368,317,300,300,98.0,0.5
369,318,300,300,98.0,0.5
370,319,300,300,98.0,0.5
373,322,300,300,98.0,0.5
376,325,300,300,98.0,0.5
377,326,300,300,98.0,0.5
378,327,300,300,98.0,0.5
381,330,300,300,98.0,0.5
382,331,300,300,98.0,0.5
412,333,300,300,35.9,0.4
413,334,300,300,35.9,0.4
414,335,300,300,35.9,0.4
415,336,300,300,35.9,0.4
416,337,300,300,35.9,0.4
417,338,300,300,35.9,0.4
418,339,300,300,35.9,0.4
419,340,300,300,35.9,0.4
