id,type,average_fee_transport,average_gas_consume,fixed_cost,max_load_weight,max_capacity
8,TRUCK,3380,0.13,1200,8000,47.0
24,BIKE,520,0.02,1200,120,0.6400000000000001
17,TRUCK,2340,0.09,1200,2500,15.48
7,TRUCK,2860,0.11,1200,5000,24.8
2,TRUCK,1560,0.06,1200,1250,8.993923999999998
22,TRUCK,2340,0.09,1200,2500,15.48
15,TRUCK,2860,0.11,1200,3500,16.296
4,TRUCK,2340,0.09,1200,2500,15.48
20,TRUCK,2340,0.09,1200,2500,15.48
13,TRUCK,2860,0.11,1200,3500,16.296
1,TRUCK,1560,0.06,1200,1250,8.993923999999998
