vehicle_id,product_id
24,107
24,103
24,31
24,27
24,22
22,80
22,95
22,100
22,73
22,107
22,103
22,31
22,27
22,22
2,22
2,27
20,80
2,31
20,95
20,100
20,73
20,107
20,103
20,31
20,27
20,22
19,80
19,95
19,100
19,73
2,73
19,107
19,103
2,80
19,31
19,27
19,22
18,80
18,95
18,100
18,73
3,22
18,107
3,27
18,103
3,31
18,31
18,27
18,22
17,80
17,95
17,100
17,73
17,107
17,103
17,31
17,27
17,22
16,80
16,95
16,100
16,73
3,73
3,80
16,107
16,103
16,31
16,27
16,22
4,22
4,27
4,31
4,73
4,80
5,22
5,27
5,31
15,107
14,107
13,107
12,107
11,107
9,107
8,107
7,107
5,73
6,107
5,107
4,107
3,107
2,107
5,80
6,22
6,27
6,31
15,103
14,103
13,103
12,103
11,103
9,103
8,103
7,103
6,103
5,103
4,103
3,103
2,103
6,73
6,80
15,100
14,100
13,100
12,100
7,22
11,100
9,100
8,100
7,27
7,100
6,100
5,100
7,31
4,100
3,100
2,100
7,73
7,80
15,95
14,95
13,95
8,22
12,95
11,95
9,95
8,27
8,95
7,95
6,95
8,31
5,95
4,95
3,95
2,95
15,80
15,73
15,31
15,27
15,22
14,80
14,73
14,31
14,27
14,22
13,80
13,73
13,31
13,27
13,22
12,80
12,73
12,31
12,27
12,22
11,80
11,73
11,31
11,27
11,22
8,73
9,80
9,73
9,31
9,27
9,22
8,80
24,73
24,100
24,95
24,80
