vehicle_id,product_id
1,22
1,27
1,31
1,73
21,80
1,80
21,95
21,100
21,73
21,107
21,103
2,22
21,31
21,27
2,27
21,22
20,80
2,31
20,95
20,100
20,73
20,107
20,103
20,31
20,27
20,22
2,73
2,80
18,80
18,95
18,100
18,73
3,22
18,107
3,27
18,103
3,31
18,31
18,27
18,22
17,80
17,95
17,100
17,73
17,107
17,103
17,31
17,27
17,22
3,73
3,80
4,22
4,27
4,31
4,73
4,80
5,22
5,27
5,31
15,107
14,107
9,107
8,107
5,73
6,107
5,107
4,107
3,107
2,107
1,107
5,80
6,22
6,27
6,31
15,103
14,103
9,103
8,103
6,103
5,103
4,103
3,103
2,103
1,103
6,73
6,80
15,100
14,100
9,100
8,100
6,100
5,100
4,100
3,100
2,100
1,100
15,95
14,95
8,22
9,95
8,27
8,95
6,95
8,31
5,95
4,95
3,95
2,95
1,95
15,80
15,73
15,31
15,27
15,22
14,80
14,73
14,31
14,27
14,22
8,73
9,80
9,73
9,31
9,27
9,22
8,80
26,22
26,27
26,31
26,103
26,107
26,73
26,100
26,95
26,80
