order_id,id,product_id,quantity,weight,capacity
1,1,1,1,5.0,5.0
1,2,2,1,3.0,3.0
2,3,1,1,5.0,5.0
3,4,1,1,10.0,10.0
3,5,2,1,5.0,5.0
4,6,1,1,10.0,10.0
5,7,1,1,5.0,5.0
5,8,2,1,3.0,3.0
6,9,1,1,5.0,5.0
7,10,1,1,10.0,10.0
7,11,2,1,5.0,5.0
8,12,1,1,10.0,10.0
9,13,1,1,5.0,5.0
9,14,2,1,3.0,3.0
10,15,1,1,5.0,5.0
11,16,1,1,5.0,5.0
11,17,2,1,3.0,3.0
12,18,1,1,5.0,5.0
13,19,1,1,10.0,10.0
13,20,2,1,5.0,5.0
14,21,1,1,10.0,10.0
15,22,1,1,5.0,5.0
15,23,2,1,3.0,3.0
16,24,1,1,5.0,5.0
17,25,1,1,10.0,10.0
17,26,2,1,5.0,5.0
18,27,1,1,10.0,10.0
19,28,1,1,5.0,5.0
19,29,2,1,3.0,3.0
20,30,1,1,5.0,5.0
21,31,1,1,5.0,5.0
21,32,2,1,3.0,3.0
22,33,1,1,5.0,5.0
23,34,1,1,10.0,10.0
23,35,2,1,5.0,5.0
24,36,1,1,10.0,10.0
25,37,1,1,5.0,5.0
25,38,2,1,3.0,3.0
26,39,1,1,5.0,5.0
27,40,1,1,10.0,10.0
27,41,2,1,5.0,5.0
28,42,1,1,10.0,10.0
29,43,1,1,5.0,5.0
29,44,2,1,3.0,3.0
30,45,1,1,5.0,5.0
31,46,1,1,5.0,5.0
31,47,2,1,3.0,3.0
32,48,1,1,5.0,5.0
33,49,1,1,10.0,10.0
33,50,2,1,5.0,5.0
34,51,1,1,10.0,10.0
35,52,1,1,5.0,5.0
35,53,2,1,3.0,3.0
36,54,1,1,5.0,5.0
37,55,1,1,10.0,10.0
37,56,2,1,5.0,5.0
38,57,1,1,10.0,10.0
39,58,1,1,5.0,5.0
39,59,2,1,3.0,3.0
40,60,1,1,5.0,5.0
41,61,1,1,5.0,5.0
41,62,2,1,3.0,3.0
42,63,1,1,5.0,5.0
43,64,1,1,10.0,10.0
43,65,2,1,5.0,5.0
44,66,1,1,10.0,10.0
45,67,1,1,5.0,5.0
45,68,2,1,3.0,3.0
46,69,1,1,5.0,5.0
47,70,1,1,10.0,10.0
47,71,2,1,5.0,5.0
48,72,1,1,10.0,10.0
49,73,1,1,5.0,5.0
49,74,2,1,3.0,3.0
50,75,1,1,5.0,5.0
