order_id,id,product_id,quantity,weight,capacity
1,1,1,1,10.0,10.0
2,2,1,1,5.0,5.0
2,3,2,1,3.0,3.0
3,4,1,1,5.0,5.0
4,5,1,1,10.0,10.0
4,6,2,1,5.0,5.0
5,7,1,1,10.0,10.0
6,8,1,1,5.0,5.0
7,9,1,1,10.0,10.0
7,10,2,1,5.0,5.0
8,11,1,1,10.0,10.0
9,12,1,1,5.0,5.0
9,13,2,1,3.0,3.0
10,14,1,1,5.0,5.0
11,15,1,1,10.0,10.0
12,16,1,1,5.0,5.0
12,17,2,1,3.0,3.0
13,18,1,1,5.0,5.0
14,19,1,1,10.0,10.0
14,20,2,1,5.0,5.0
15,21,1,1,10.0,10.0
16,22,1,1,5.0,5.0
17,23,1,1,10.0,10.0
17,24,2,1,5.0,5.0
18,25,1,1,10.0,10.0
19,26,1,1,5.0,5.0
19,27,2,1,3.0,3.0
20,28,1,1,5.0,5.0
21,29,1,1,10.0,10.0
22,30,1,1,5.0,5.0
22,31,2,1,3.0,3.0
23,32,1,1,5.0,5.0
24,33,1,1,10.0,10.0
24,34,2,1,5.0,5.0
25,35,1,1,10.0,10.0
26,36,1,1,5.0,5.0
27,37,1,1,10.0,10.0
27,38,2,1,5.0,5.0
28,39,1,1,10.0,10.0
29,40,1,1,5.0,5.0
29,41,2,1,3.0,3.0
30,42,1,1,5.0,5.0
31,43,1,1,10.0,10.0
32,44,1,1,5.0,5.0
32,45,2,1,3.0,3.0
33,46,1,1,5.0,5.0
34,47,1,1,10.0,10.0
34,48,2,1,5.0,5.0
35,49,1,1,10.0,10.0
36,50,1,1,5.0,5.0
37,51,1,1,10.0,10.0
37,52,2,1,5.0,5.0
38,53,1,1,10.0,10.0
39,54,1,1,5.0,5.0
39,55,2,1,3.0,3.0
40,56,1,1,5.0,5.0
41,57,1,1,10.0,10.0
42,58,1,1,5.0,5.0
42,59,2,1,3.0,3.0
43,60,1,1,5.0,5.0
44,61,1,1,10.0,10.0
44,62,2,1,5.0,5.0
45,63,1,1,10.0,10.0
46,64,1,1,5.0,5.0
47,65,1,1,10.0,10.0
47,66,2,1,5.0,5.0
48,67,1,1,10.0,10.0
49,68,1,1,5.0,5.0
49,69,2,1,3.0,3.0
50,70,1,1,5.0,5.0
