id,created_at,updated_at,capacity,code,delivery_after_time,delivery_before_time,delivery_mode,intend_receive_time,order_value,time_service,time_loading,weight,customer_id,depot_id,dx_code
1,1660186077665,1660186078343,0.68,O1,28800,75600,STANDARD,,5920000,300,300,122.0,1,,62f46ddd075eaf223f75d802
4,1660186108594,1660186109266,0.68,O4,28800,75600,STANDARD,,5920000,300,300,122.0,4,,62f46dfc075eaf223f75d83e
5,1660186116183,1660186116869,0.68,O5,28800,75600,STANDARD,,5920000,300,300,122.0,5,,62f46e03075eaf223f75d852
8,1660186140455,1660186141113,0.68,O8,28800,75600,STANDARD,,5920000,300,300,122.0,7,,62f46e1c075eaf223f75d88e
9,1660186149846,1660186150517,0.68,O9,28800,75600,STANDARD,,5920000,300,300,122.0,9,,62f46e25075eaf223f75d8a2
12,1660186172035,1660186172695,0.68,O12,28800,75600,STANDARD,,5920000,300,300,122.0,12,,62f46e3b075eaf223f75d8de
15,1660186193187,1660186193852,0.68,O15,28800,75600,STANDARD,,5920000,300,300,122.0,15,,62f46e50075eaf223f75d91a
16,1660186201885,1660186202565,0.68,O16,28800,75600,STANDARD,,5920000,300,300,122.0,16,,62f46e59075eaf223f75d92e
227,1660216811613,1660216813163,0.45,O227,28800,75600,STANDARD,,6602500,300,300,124.1,17,,62f4e5eb79e9de3d24dbd66e
228,1660216819712,1660216821079,0.45,O228,28800,75600,STANDARD,,6602500,300,300,124.1,18,,62f4e5f379e9de3d24dbd683
229,1660216878654,1660216880150,0.45,O229,28800,75600,STANDARD,,6602500,300,300,124.1,19,,62f4e62e79e9de3d24dbd698
230,1660216895616,1660216896820,0.45,O230,28800,75600,STANDARD,,6602500,300,300,124.1,27,,62f4e63f79e9de3d24dbd6ad
231,1660216904631,1660216905842,0.45,O231,28800,75600,STANDARD,,6602500,300,300,124.1,29,,62f4e64879e9de3d24dbd6c2
234,1660216928409,1660216929615,0.45,O234,27000,73800,STANDARD,,6602500,300,300,124.1,32,,62f4e66079e9de3d24dbd701
235,1660216937951,1660216939297,0.45,O235,27000,73800,STANDARD,,6602500,300,300,124.1,33,,62f4e66979e9de3d24dbd716
239,1660216965695,1660216966927,0.45,O239,27000,73800,STANDARD,,6602500,300,300,124.1,37,,62f4e68579e9de3d24dbd76a
240,1660216972363,1660216973601,0.45,O240,27000,73800,STANDARD,,6602500,300,300,124.1,38,,62f4e68c79e9de3d24dbd77f
242,1660217001256,1660217002102,0.68,O242,27000,73800,STANDARD,,2282500,300,300,52.1,40,,62f4e6a979e9de3d24dbd7a8
41,1660186413520,1660186414190,0.68,O41,27000,73800,STANDARD,,5240000,300,300,106.0,41,,62f46f2d075eaf223f75db22
42,1660186421764,1660186422440,0.68,O42,27900,74700,STANDARD,,5240000,300,300,106.0,42,,62f46f35075eaf223f75db36
43,1660186429797,1660186430460,0.68,O43,27900,74700,STANDARD,,5240000,300,300,106.0,43,,62f46f3d075eaf223f75db4a
44,1660186437261,1660186437923,0.68,O44,27900,74700,STANDARD,,5240000,300,300,106.0,44,,62f46f45075eaf223f75db5e
45,1660186445240,1660186445903,0.68,O45,27900,74700,STANDARD,,5240000,300,300,106.0,45,,62f46f4d075eaf223f75db72
46,1660186452830,1660186453494,0.68,O46,27900,74700,STANDARD,,5240000,300,300,106.0,46,,62f46f54075eaf223f75db86
48,1660186467558,1660186468242,0.68,O48,27900,74700,STANDARD,,5240000,300,300,106.0,48,,62f46f63075eaf223f75dbae
49,1660186477377,1660186478041,0.68,O49,27900,74700,STANDARD,,5240000,300,300,106.0,49,,62f46f6d075eaf223f75dbc2
52,1660186499831,1660186500510,0.68,O52,27900,74700,STANDARD,,5240000,300,300,106.0,52,,62f46f83075eaf223f75dbfe
53,1660186508456,1660186509121,0.68,O53,27900,74700,STANDARD,,5240000,300,300,106.0,53,,62f46f8c075eaf223f75dc12
54,1660186520063,1660186520726,0.68,O54,27900,74700,STANDARD,,5240000,300,300,106.0,54,,62f46f97075eaf223f75dc26
57,1660186550426,1660186551105,0.68,O57,27900,74700,STANDARD,,5240000,300,300,106.0,57,,62f46fb6075eaf223f75dc62
58,1660186559645,1660186560313,0.68,O58,27900,74700,STANDARD,,5240000,300,300,106.0,58,,62f46fbf075eaf223f75dc76
59,1660186563811,1660186564471,0.68,O59,27900,74700,STANDARD,,5240000,300,300,106.0,59,,62f46fc3075eaf223f75dc8a
61,1660186581487,1660186582148,0.68,O61,27000,73800,STANDARD,,5240000,300,300,106.0,62,,62f46fd5075eaf223f75dcb2
63,1660186599719,1660186600390,0.68,O63,27000,73800,STANDARD,,5240000,300,300,106.0,64,,62f46fe7075eaf223f75dcda
65,1660186615571,1660186616245,0.68,O65,27000,73800,STANDARD,,5240000,300,300,106.0,66,,62f46ff7075eaf223f75dd02
66,1660186623500,1660186624178,0.68,O66,27000,73800,STANDARD,,5240000,300,300,106.0,67,,62f46fff075eaf223f75dd16
67,1660186633696,1660186634382,0.68,O67,27000,73800,STANDARD,,5240000,300,300,106.0,68,,62f47009075eaf223f75dd2a
68,1660186645037,1660186645712,0.68,O68,27000,73800,STANDARD,,5240000,300,300,106.0,69,,62f47014075eaf223f75dd3e
70,1660186664386,1660186665067,0.68,O70,27000,73800,STANDARD,,5240000,300,300,106.0,71,,62f47028075eaf223f75dd66
72,1660186682555,1660186683234,0.68,O72,27000,73800,STANDARD,,5240000,300,300,106.0,73,,62f4703a075eaf223f75dd8e
73,1660186691819,1660186692487,0.68,O73,27000,73800,STANDARD,,5240000,300,300,106.0,74,,62f47043075eaf223f75dda2
74,1660186699758,1660186700426,0.68,O74,27000,73800,STANDARD,,5240000,300,300,106.0,75,,62f4704b075eaf223f75ddb6
75,1660186707290,1660186707969,0.68,O75,27000,73800,STANDARD,,5240000,300,300,106.0,76,,62f47053075eaf223f75ddca
77,1660186719923,1660186720592,0.68,O77,27000,73800,STANDARD,,5240000,300,300,106.0,78,,62f4705f075eaf223f75ddf2
78,1660186728916,1660186729595,0.68,O78,27000,73800,STANDARD,,5240000,300,300,106.0,79,,62f47068075eaf223f75de06
79,1660186740160,1660186740831,0.68,O79,27000,73800,STANDARD,,5240000,300,300,106.0,80,,62f47073075eaf223f75de1a
85,1660186779564,1660186780242,0.45,O85,27000,73800,STANDARD,,5240000,300,300,106.0,86,,62f4709b075eaf223f75de92
288,1660217295907,1660217296628,0.68,O288,27000,73800,STANDARD,,2282500,300,300,52.1,93,,62f4e7cf79e9de3d24dbdb40
86,1660186794930,1660186795599,0.45,O86,27000,73800,STANDARD,,5240000,300,300,106.0,94,,62f470aa075eaf223f75dea6
87,1660186806091,1660186806757,0.45,O87,27000,73800,STANDARD,,5240000,300,300,106.0,95,,62f470b5075eaf223f75deba
88,1660186817576,1660186818251,0.45,O88,27000,73800,STANDARD,,5240000,300,300,106.0,98,,62f470c1075eaf223f75dece
89,1660186834019,1660186834688,0.45,O89,27000,73800,STANDARD,,5240000,300,300,106.0,101,,62f470d1075eaf223f75dee2
90,1660186843005,1660186843737,0.45,O90,27000,73800,STANDARD,,5240000,300,300,106.0,102,,62f470da075eaf223f75def6
91,1660186856141,1660186856827,0.45,O91,27000,73800,STANDARD,,5240000,300,300,106.0,103,,62f470e7075eaf223f75df0a
92,1660186891834,1660186892502,0.45,O92,27000,73800,STANDARD,,5240000,300,300,106.0,109,,62f4710b075eaf223f75df1e
93,1660186901445,1660186902118,0.45,O93,27000,73800,STANDARD,,5240000,300,300,106.0,110,,62f47115075eaf223f75df32
98,1660186951270,1660186951974,0.45,O98,27000,73800,STANDARD,,5240000,300,300,106.0,121,,62f47147075eaf223f75df96
99,1660186964651,1660186965415,0.45,O99,27000,73800,STANDARD,,5240000,300,300,106.0,122,,62f47154075eaf223f75dfaa
100,1660186968682,1660186969366,0.45,O100,27000,73800,STANDARD,,5240000,300,300,106.0,123,,62f47158075eaf223f75dfbe
101,1660186972286,1660186972988,0.45,O101,28800,79200,STANDARD,,5240000,300,300,106.0,124,,62f4715c075eaf223f75dfd2
105,1660186986910,1660186987567,0.45,O105,28800,79200,STANDARD,,5240000,300,300,106.0,128,,62f4716a075eaf223f75e022
106,1660186990886,1660186991569,0.45,O106,28800,79200,STANDARD,,5240000,300,300,106.0,129,,62f4716e075eaf223f75e036
107,1660186995655,1660186996316,0.45,O107,28800,79200,STANDARD,,5240000,300,300,106.0,130,,62f47173075eaf223f75e04a
110,1660187009173,1660187009845,0.45,O110,28800,79200,STANDARD,,5240000,300,300,106.0,133,,62f47180075eaf223f75e086
112,1660187020238,1660187020983,0.45,O112,28800,79200,STANDARD,,5240000,300,300,106.0,135,,62f4718c075eaf223f75e0ae
115,1660187031438,1660187032118,0.45,O115,28800,79200,STANDARD,,5240000,300,300,106.0,138,,62f47197075eaf223f75e0ea
117,1660187040841,1660187041506,0.45,O117,28800,79200,STANDARD,,5240000,300,300,106.0,140,,62f471a0075eaf223f75e112
119,1660187050930,1660187051608,0.45,O119,28800,79200,STANDARD,,5240000,300,300,106.0,142,,62f471aa075eaf223f75e13a
120,1660187062181,1660187062900,0.45,O120,28800,79200,STANDARD,,5240000,300,300,106.0,143,,62f471b5075eaf223f75e14e
121,1660215834647,1660215835826,0.45,O121,28800,79200,STANDARD,,6700000,300,300,128.0,144,,62f4e21a79e9de3d24dbcc52
124,1660215932122,1660215932949,0.45,O124,28800,79200,STANDARD,,6700000,300,300,128.0,147,,62f4e27b79e9de3d24dbcc8e
126,1660215946308,1660215947065,0.45,O126,28800,79200,STANDARD,,6700000,300,300,128.0,149,,62f4e28a79e9de3d24dbccb6
130,1660215978628,1660215979475,0.45,O130,28800,79200,STANDARD,,6700000,300,300,128.0,153,,62f4e2aa79e9de3d24dbcd06
131,1660215987217,1660215987912,0.45,O131,28800,79200,STANDARD,,6700000,300,300,128.0,154,,62f4e2b379e9de3d24dbcd1a
133,1660216001892,1660216002648,0.45,O133,28800,79200,STANDARD,,6700000,300,300,128.0,156,,62f4e2c179e9de3d24dbcd42
134,1660216006109,1660216006786,0.45,O134,28800,79200,STANDARD,,6700000,300,300,128.0,157,,62f4e2c579e9de3d24dbcd56
