id,created_at,updated_at,maxNumber,product_id,vehicle_id
1224,1659235883236,,8,107,24
1220,1659235883234,,4,103,24
1217,1659235883233,,8,31,24
1216,1659235883233,,15,27,24
1215,1659235883233,,53,22,24
22,1658744924537,,745,22,1
27,1658744924540,,220,27,1
31,1658744924541,,124,31,1
1186,1659235755245,,42,80,22
1183,1659235755244,,215,95,22
1182,1659235755243,,38699,100,22
1179,1659235755242,,379,73,22
1170,1659235755239,,215,107,22
1166,1659235755237,,107,103,22
73,1658744924562,,220,73,1
1163,1659235755235,,215,31,22
1162,1659235755235,,379,27,22
1161,1659235755234,,1283,22,22
80,1658744924566,,24,80,1
102,1658745064617,,745,22,2
107,1658745064619,,220,27,2
1132,1659235743322,,42,80,20
111,1658745064621,,124,31,2
1129,1659235743321,,215,95,20
1128,1659235743321,,38699,100,20
1125,1659235743320,,379,73,20
1116,1659235743316,,215,107,20
1112,1659235743315,,107,103,20
1109,1659235743314,,215,31,20
1108,1659235743313,,379,27,20
1107,1659235743313,,1283,22,20
153,1658745064644,,220,73,2
160,1658745064647,,24,80,2
1051,1659235728973,,42,80,17
1048,1659235728972,,215,95,17
1047,1659235728971,,38699,100,17
1044,1659235728970,,379,73,17
1035,1659235728967,,215,107,17
1031,1659235728965,,107,103,17
1028,1659235728964,,215,31,17
1027,1659235728963,,379,27,17
1026,1659235728963,,1283,22,17
262,1658745178983,,1283,22,4
267,1658745178986,,379,27,4
271,1658745178989,,215,31,4
313,1658745179024,,379,73,4
320,1658745179028,,42,80,4
877,1659234699420,,226,107,15
875,1659234699419,,226,107,13
870,1659234699416,,652,107,8
869,1659234699415,,344,107,7
866,1659234699413,,215,107,4
864,1659234699411,,124,107,2
863,1659234699402,,124,107,1
817,1659234286715,,113,103,15
815,1659234286714,,113,103,13
810,1659234286701,,326,103,8
809,1659234286701,,172,103,7
806,1659234286699,,107,103,4
804,1659234286698,,62,103,2
803,1659234286696,,62,103,1
772,1659233331483,,40739,100,15
770,1659233331482,,40739,100,13
502,1658745279202,,2055,22,7
765,1659233331481,,117499,100,8
507,1658745279206,,607,27,7
764,1659233331480,,61999,100,7
511,1658745279208,,344,31,7
761,1659233331479,,38699,100,4
759,1659233331478,,22484,100,2
758,1659233331476,,22484,100,1
553,1658745279227,,607,73,7
560,1658745279230,,68,80,7
697,1659232784787,,226,95,15
695,1659232784786,,226,95,13
582,1658745322074,,3896,22,8
587,1658745322077,,1151,27,8
690,1659232784783,,652,95,8
689,1659232784783,,344,95,7
591,1658745322079,,652,31,8
686,1659232784782,,215,95,4
684,1659232784781,,124,95,2
683,1659232784779,,124,95,1
682,1658851592379,,45,80,15
681,1658851592379,,399,73,15
680,1658851592378,,226,31,15
679,1658851592378,,399,27,15
678,1658851592377,,1350,22,15
670,1658851566351,,45,80,13
669,1658851566350,,399,73,13
668,1658851566350,,226,31,13
667,1658851566349,,399,27,13
666,1658851566348,,1350,22,13
633,1658745322104,,1151,73,8
640,1658745322109,,130,80,8
1233,1659235883257,,15,73,24
1236,1659235883258,,1600,100,24
1237,1659235883259,,8,95,24
1240,1659235883260,,1,80,24
