id,created_at,updated_at,address,code,end_time,latitude,longitude,name,start_time,penalty_cost,dx_code
263,1658998070069,1658998070079,"Building CT2B, Khu đô thị Tây Hồ Tây, Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",C263,79200,21.0511521,105.7932438,WinMart+ CT2B Cổ Nhuế,27000,1100,62e24d35a8246413de0ac69e
5,1658895662824,1658895662855,"T1, Toà 170 La Thành, P. Ô Chợ Dừa, Q. Đống Đa, Hà Nội",C5,75600,21.0207133,105.8275735,VinMart La Thành,28800,1000,62e0bd2e2c553306621a185a
154,1658979373830,1658979373837,"Chelsea Park, 116 Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Thành phố Hà Nội",C154,79200,21.0186652,105.7932229,"WinMart+ Chelsea Park, Trung Kính",28800,1250,62e2042da8246413de0abc89
69,1658972743346,1658972743357,"19 Trúc Khê, Phường Láng Hạ, Quận Đống Đa, Hà Nội",C69,73800,21.0157246,105.8082071,WinMart Trúc Khê,27000,1200,62e1ea47a8246413de0ab63a
15,1658896108495,1658896108518,"Số 188 Phố Tây Sơn, Thị Trấn Phùng, Huyện Đan Phượng, Thành Phố Hà Nội",C15,75600,21.0836401,105.6725277,VinMart Đan Phượng,28800,1000,62e0beec2c553306621a1918
42,1658900561570,1658900561587,"20 Nguyễn Thiếp, Phường Nguyễn Trung Trực, Quận Ba Đình, Thành phố Hà Nội",C42,74700,21.040892,105.8490093,WinMart+ 20 Nguyễn Thiếp,27900,1100,62e0d0502c553306621a26b9
222,1658996468972,1658996468978,"Winmart+ 59 Mai Hắc Đế, Mai Hắc Đế, Bùi Thị Xuân, Hai Bà Trưng, Hà Nội",C222,79200,21.0145224,105.8511623,WinMart+ 59 Mai Hắc Đế,27000,1300,62e246f4a8246413de0ac285
327,1659033842013,1659033842029,"91 P. Khâm Thiên, Khâm Thiên, Đống Đa, Hà Nội, Việt Nam",C327,75600,21.0189548,105.8375806,Circle K - 91 Khâm Thiên,25200,1100,62e2d8f1fb8c560e0ddb086b
342,1659034819444,1659034819451,"N8A1 P. Nguyễn Thị Thập, Nhân Chính, Thanh Xuân, Hà Nội, Việt Nam",C342,75600,21.0045437,105.7996073,Circle k - N8A1 Nguyễn Thị Thập,25200,1100,62e2dcc3fb8c560e0ddb0988
173,1658980491868,1658980491882,"120A P. Nguyễn An Ninh, Tương Mai, Hoàng Mai, Hà Nội, Việt Nam",C173,79200,20.9914297,105.8445979,WinMart+ 120A Nguyễn An Ninh,28800,1250,62e2088ba8246413de0abdf2
368,1659037440932,1659037440938,"146 P. Kim Mã, Kim Mã, Ba Đình, Hà Nội 10000, Việt Nam",C368,79200,21.0320874,105.8261264,Điện Máy Xanh 146 Kim Mã,28800,2100,62e2e700fb8c560e0ddb0b76
43,1658900594596,1658900594615,"27 Phạm Hồng Thái, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội",C43,74700,21.0435916,105.8449674,WinMart+ 27 Phạm Hồng Thái,27900,1100,62e0d0722c553306621a26cc
135,1658977057946,1658977057953,"52 P. Trung Kính, Trung Hoà, Cầu Giấy, Hà Nội, Việt Nam",C135,79200,21.0140179,105.7973584,WinMart+  Trung Kính,28800,1250,62e1fb21a8246413de0abb20
292,1658998896468,1658998896475,"WinMart+ - 20 Ngô Thì Nhậm, Phường Hà Cầu, Quận Hà Đông, Thành phố Hà Nội",C292,79200,20.9688272,105.7692128,WinMart+ - 20 Ngô Thì Nhậm,27000,1100,62e25070a8246413de0ac8c5
37,1658900062846,1658900062863,"47 Phó Đức Chính, Trúc Bạch, Ba Đình, Hà Nội, Việt Nam",C37,73800,21.048936,105.841036,WinMart+ 47 Phó Đức Chính,27000,1200,62e0ce5e2c553306621a2507
153,1658979330706,1658979330713,"Số 12 phố P. Phạm Tuấn Tài, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Việt Nam",C153,79200,21.0417797,105.7869201,WinMart+ 12 Phạm Tuấn Tài,28800,1250,62e20402a8246413de0abc76
373,1659037648374,1659037648382,"110 Trần Phú, Khu đô thị Mỗ Lao, Hà Đông, Hà Nội 10000, Việt Nam",C373,79200,20.9790294,105.7853602,Siêu thị Điện máy XANH  - 110 Trần Phú,28800,2100,62e2e7d0fb8c560e0ddb0bd5
140,1658978765916,1658978765941,"639 Phố Vũ Tông Phan, Khương Đình, Thanh Xuân, Hà Nội",C140,79200,20.98258,105.8167033,WinMart+ 639 Vũ Tông Phan,28800,1250,62e201cda8246413de0abb7f
46,1658900699955,1658900699965,"20 Nghĩa Dũng, Phường Phúc Xá, Quận Ba Đình, Thành phố Hà Nội",C46,74700,21.0488103,105.8456755,WinMart+ 20 Nghĩa Dũng,27900,1100,62e0d0db2c553306621a2705
201,1658995720287,1658995720311,"1d Ngõ 405 Ngọc Thụy, Ngọc Thụy, Long Biên, Hà Nội",C201,79200,21.0621545,105.8614703,WinMart+ 1D Ngõ 405 Ngọc Thụy,27000,1300,62e24407a8246413de0ac0f6
17,1658896343259,1658896343283,"Tầng Hầm B1 - TTTM Vincom Phạm Ngọc Thạch, Số 2 Phạm Ngọc Thạch, Phường Trung Tự, Quận Đống Đa,  Thành Phố Hà Nội",C17,75600,21.0062871,105.831843,VinMart Phạm Ngọc Thạch,28800,1000,62e0bfd62c553306621a193e
29,1658897255795,1658897255810,"60 Tứ Hiệp, Thị trấn Văn Điển, Huyện Thanh Trì, Thành phố Hà Nội",C29,75600,20.9486349,105.8455084,"WinMart+ - 60 Tứ Hiệp, Thanh Trì",28800,1000,62e0c3672c553306621a1a22
158,1658979625961,1658979625967,"86 P. Quan Nhân, Nhân Chính, Thanh Xuân, Hà Nội, Việt Nam",C158,79200,21.0068217,105.8118879,WinMart+ Quan Nhân,28800,1250,62e20529a8246413de0abcd5
325,1659033796108,1659033796117,"62 Trần Hưng Đạo, Hoàn Kiếm, Hà Nội, Việt Nam",C325,75600,21.0221733,105.8489029,Circle K - 62 Trần Hưng Đạo,25200,1100,62e2d8c3fb8c560e0ddb0845
362,1659037117413,1659037117419,"55 P. Nguyễn Hoàng, Phú Mỹ, Từ Liêm, Hà Nội, Việt Nam",C362,79200,21.0320869,105.773378,Điện máy xanh - 55 P. Nguyễn Hoàng,28800,2100,62e2e5bdfb8c560e0ddb0b04
350,1659036698634,1659036698645,"218 Nguyễn Huy Tưởng, Thanh Xuân Trung, Thanh Xuân, Hà Nội, Việt Nam",C350,75600,20.996892,105.803578,Circle K - 218 Nguyễn Huy Tưởng,25200,1100,62e2e41afb8c560e0ddb0a20
337,1659034324732,1659034324745,"420 Đ. La Thành, Chợ Dừa, Đống Đa, Hà Nội, Việt Nam",C337,75600,21.0228949,105.8222371,Circle K - 420 La Thành,25200,1100,62e2dad4fb8c560e0ddb0929
290,1658998853325,1658998853333,"WinMart+ - 136 Nguyễn Viết Xuân, Phường Quang Trung, Quận Hà Đông, Thành phố Hà Nội",C290,79200,20.9702167,105.768827,WinMart+ - 136 Nguyễn Viết Xuân,27000,1100,62e25044a8246413de0ac89f
41,1658900438946,1658900438980,"69 Vạn Bảo, Phường Liễu Giai, Quận Ba Đình, Thành phố Hà Nội",C41,73800,21.0333895,105.8170932,WinMart+ 69 Vạn Bảo,27000,1200,62e0cfd62c553306621a2553
164,1658980026440,1658980026449,"Số 147 Ngh. 93/28 P. Hoàng Văn Thái, P, Thanh Xuân, Hà Nội, Việt Nam",C164,79200,20.9950819,105.8241944,WinMart+ 147 Hoàng Văn Thái,28800,1250,62e206baa8246413de0abd47
49,1658900795981,1658900796000,"93 Ngõ Núi Trúc, Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội",C49,74700,21.0304473,105.824861,WinMart+ 93 Ngõ Núi Trúc,27900,1100,62e0d13b2c553306621a273e
330,1659033937351,1659033937357,"2 Phố Hoàng Ngân, Trung Hoà, Thanh Xuân, Hà Nội, Việt Nam",C330,75600,21.0071688,105.8115855,Circle K - 2 Phố Hoàng Ngân,25200,1100,62e2d951fb8c560e0ddb08a4
202,1658995838868,1658995838876,"207 Đức Giang, Thượng Thanh, Long Biên, Hà Nội",C202,79200,21.0696354,105.8816692,WinMart+ 207 Đức Giang,27000,1300,62e2447ea8246413de0ac109
192,1658981211233,1658981211242,"1 Ngõ 250 Đường Kim Giang, Kim Văn, Đại Kim, Hoàng Mai, Hà Nội",C192,79200,20.9792056,105.8205412,WinMart+ 1 Ngõ 250 Kim Giang,28800,1250,62e20b5aa8246413de0abf5b
223,1658996576907,1658996576919,"310 P. Minh Khai, Minh Khai, Hai Bà Trưng, Hà Nội, Việt Nam",C223,79200,20.995806,105.861092,WinMart+ 310 Minh Khai,27000,1300,62e24760a8246413de0ac2b6
226,1658996723588,1658996723598,"86 Phố Lạc Trung, Vĩnh Tuy, Hai Bà Trưng, Hà Nội",C226,79200,21.0031451,105.863833,WinMart+ 86 Lạc Trung,27000,1300,62e247f3a8246413de0ac2ef
314,1659031908260,1659031908273,"69 Đền Lừ 2, Hoàng Văn Thụ, Hoàng Mai, Hà Nội, Việt Nam",C314,75600,20.9858885,105.8578098,Circle K 69 Đền Lừ 2,25200,1100,62e2d163fb8c560e0ddb0774
187,1658981066594,1658981066605,"589 Trương Định, Thịnh Liệt, Hoàng Mai, Hà Nội",C187,79200,20.9812164,105.845372,WinMart+ 589 Trương Định,28800,1250,62e20acaa8246413de0abefc
54,1658901094509,1658901094527,"224 P. Khâm Thiên, Khâm Thiên, Đống Đa, Hà Nội, Việt Nam",C54,74700,21.0193059,105.8351354,WinMart+ 224 Khâm Thiên,27900,1100,62e0d2662c553306621a279d
256,1658997787762,1658997787770,"WinMart+, 44 Phố Nguyễn Hoàng, Mỹ Đình 2, Từ Liêm, Hà Nội",C256,79200,21.0314336,105.774488,WinMart+ 44 Nguyễn Hoàng,27000,1100,62e24c1ba8246413de0ac619
147,1658979091792,1658979091817,"WinMart+, 152 Phố Yên Hòa, Yên Hoà, Cầu Giấy, Hà Nội",C147,79200,21.0234101,105.7943758,WinMart+ 90 Dương Quảng Hàm,28800,1250,62e20313a8246413de0abc04
278,1658998470048,1658998470057,"212 Đường Cổ Nhuế, phường, Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",C278,79200,21.063956,105.779958,WinMart+ 212 Cổ Nhuế,27000,1100,62e24ec5a8246413de0ac7bb
277,1658998451692,1658998451699,"272 Đường Thụy Phương, làng Chèm, Thụy Phương, Từ Liêm, Hà Nội",C277,79200,21.0927482,105.7777914,WinMart+ 272 Thụy Phương,27000,1100,62e24eb3a8246413de0ac7a8
110,1658975949034,1658975949042,"WinMart+ 95 Ba Thá, Ứng Hòa",C110,73800,20.8066279,105.7098129,WinMart+ 95 Ba Thá,27000,1200,62e1f6cca8246413de0ab945
318,1659032044855,1659032044863,"149C P. Lò Đúc, Đống Mác, Hai Bà Trưng, Hà Nội, Việt Nam",C318,75600,21.010473,105.860179,Circle K - 149C P. Lò Đúc,25200,1100,62e2d1ecfb8c560e0ddb07c0
177,1658980662147,1658980662155,WinMart+ 53 Ngõ 467 Lĩnh Nam,C177,79200,20.9825137,105.8816702,WinMart+ Lĩnh Nam,28800,1250,62e20935a8246413de0abe3e
109,1658975931319,1658975931327,"WinMart+ - 543 Thanh Lương, Xã Bích Hòa, Huyện Thanh Oai, Thành phố Hà Nội",C109,73800,20.9093072,105.7622588,"WinMart+ - 543 Thanh Lương, Bích Hòa, Thanh Oai",27000,1200,62e1f6bba8246413de0ab932
75,1658973184014,1658973184021,"Tầng hầm B1 - TTTM Vincom Bắc Từ Liêm. Số 234 Phạm Văn Đồng, P. Cổ Nhuế 1, Quận Bắc Từ Liêm, Thành Phố Hà Nội",C75,73800,21.0530292,105.7800956,WinMart Bắc Từ Liêm,27000,1200,62e1ebffa8246413de0ab6ac
33,1658899934739,1658899934786,"35B Xuân La, Phường Xuân La, Quận Tây Hồ, Thành phố Hà Nội",C33,73800,21.061832,105.8080094,WinMart+ 35B Xuân La,27000,1200,62e0cdde2c553306621a24bb
71,1658972953179,1658972953192,"P. Văn Tân, Khu đô thị Tây Nam Linh Đàm, Hoàng Mai, Hà Nội, Việt Nam",C71,73800,20.9637169,105.8235546,WinMart Linh Đàm,27000,1200,62e1eb18a8246413de0ab660
344,1659034878436,1659034878444,"5 Nguyễn Quý Đức, Khu tập thể Thanh Xuân Bắc, Thanh Xuân, Hà Nội, Việt Nam",C344,75600,20.9913234,105.799553,Circle k - 5 Nguyễn Quý Đức,25200,1100,62e2dcfefb8c560e0ddb09ae
12,1658895943782,1658895943881,"131 Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà NộiSố 8 Quang Trung, P. Quang Trung, Q. Hà Đông, Hà Nội",C12,75600,20.9724074,105.7770757,VinMart Hà Đông 2,28800,1000,62e0be462c553306621a18df
242,1658997409411,1658997409429,"WinMart+, 66 Đại Cồ Việt, Lê Đại Hành, Hai Bà Trưng, Hà Nội",C242,79200,21.0084179,105.8474426,WinMart+ 66 Đại Cổ Việt,27000,1100,62e24aa1a8246413de0ac50f
345,1659034902162,1659034902168,"38 Đào Duy Từ, Hàng Buồm, Hoàn Kiếm, Hà Nội, Việt Nam",C345,75600,21.0359567,105.8527333,Circle k - 38 Đào Duy Từ,25200,1100,62e2dd15fb8c560e0ddb09c1
275,1658998410451,1658998410461,"31 Đ. Xuân Đỉnh, Xuân Tảo, Từ Liêm, Hà Nội",C275,79200,21.0699492,105.8016547,WinMart+ 31 Xuân Đỉnh,27000,1100,62e24e8aa8246413de0ac782
293,1658998923553,1658998923563,"148 Phố Lê Lợi, Nguyễn Trãi, Hà Đông, Hà Nội",C293,79200,20.9675526,105.7805081,WinMart+ 148 Lê Lợi,27000,1100,62e2508ba8246413de0ac8d8
38,1658900091895,1658900091914,"50 Đ. Nguyễn Hoàng Tôn, Xuân La, Từ Liêm, Hà Nội, Việt Nam",C38,73800,21.0715449,105.8064137,WinMart+ 50 Nguyễn Hoàng Tôn,27000,1200,62e0ce7b2c553306621a251a
247,1658997534545,1658997534556,"194 Phố Minh Khai, Minh Khai, Hai Bà Trưng, Hà Nội",C247,79200,20.9952768,105.854344,WinMart+ 194 Minh Khai,27000,1100,62e24b1ea8246413de0ac56e
183,1658980835870,1658980835882,"26 Thúy Lĩnh, Lĩnh Nam, Hoàng Mai, Hà Nội",C183,79200,20.9775992,105.8918666,WinMart+ 26 Thúy Lĩnh,28800,1250,62e209e3a8246413de0abeb0
