id,created_at,updated_at,maxNumber,product_id,vehicle_id
1224,1659235883236,,8,107,24
1220,1659235883234,,4,103,24
1217,1659235883233,,8,31,24
1216,1659235883233,,15,27,24
1215,1659235883233,,53,22,24
22,1658744924537,,745,22,1
27,1658744924540,,220,27,1
31,1658744924541,,124,31,1
73,1658744924562,,220,73,1
80,1658744924566,,24,80,1
1078,1659235733593,,42,80,18
1075,1659235733592,,215,95,18
1074,1659235733592,,38699,100,18
1071,1659235733591,,379,73,18
1062,1659235733588,,215,107,18
1058,1659235733586,,107,103,18
1055,1659235733585,,215,31,18
1054,1659235733583,,379,27,18
1053,1659235733582,,1283,22,18
1024,1659235708592,,42,80,16
1021,1659235708591,,215,95,16
1020,1659235708591,,38699,100,16
1017,1659235708590,,379,73,16
1008,1659235708587,,215,107,16
1004,1659235708586,,107,103,16
1001,1659235708584,,215,31,16
1000,1659235708583,,379,27,16
999,1659235708580,,1283,22,16
872,1659234699416,,226,107,10
871,1659234699416,,226,107,9
870,1659234699416,,652,107,8
869,1659234699415,,344,107,7
863,1659234699402,,124,107,1
812,1659234286709,,113,103,10
811,1659234286702,,113,103,9
810,1659234286701,,326,103,8
809,1659234286701,,172,103,7
803,1659234286696,,62,103,1
502,1658745279202,,2055,22,7
767,1659233331481,,40739,100,10
766,1659233331481,,40739,100,9
765,1659233331481,,117499,100,8
507,1658745279206,,607,27,7
764,1659233331480,,61999,100,7
511,1658745279208,,344,31,7
758,1659233331476,,22484,100,1
553,1658745279227,,607,73,7
560,1658745279230,,68,80,7
582,1658745322074,,3896,22,8
692,1659232784784,,226,95,10
691,1659232784784,,226,95,9
587,1658745322077,,1151,27,8
690,1659232784783,,652,95,8
689,1659232784783,,344,95,7
591,1658745322079,,652,31,8
683,1659232784779,,124,95,1
652,1658851549106,,45,80,10
651,1658851549105,,399,73,10
650,1658851549104,,226,31,10
649,1658851549103,,399,27,10
648,1658851549103,,1350,22,10
633,1658745322104,,1151,73,8
646,1658851541568,,45,80,9
645,1658851541568,,399,73,9
644,1658851541567,,226,31,9
643,1658851541567,,399,27,9
642,1658851541566,,1350,22,9
640,1658745322109,,130,80,8
1233,1659235883257,,15,73,24
1236,1659235883258,,1600,100,24
1237,1659235883259,,8,95,24
1240,1659235883260,,1,80,24
